player	player_id	date	market_value
Adam Armstrong	136460	2016-07-01	3500000
Adam Armstrong	136460	2019-01-01	4650000
Adam Armstrong	136460	2021-12-01	19140000
Adam Armstrong	136460	2023-06-01	8510000
Adam Armstrong	136460	2023-09-01	5120000
Adam Armstrong	136460	2023-12-01	4400000
Adam Armstrong	136460	2024-02-01	5010000
Adam Armstrong	136460	2024-05-01	7090000
Adam Armstrong	136460	2024-08-01	9770000
Adam Armstrong	136460	2024-10-01	11090000
Adam Armstrong	136460	2024-12-01	10770000
Adam Armstrong	136460	2025-04-01	15110601
Adam Armstrong	136460	2025-05-01	15110601
Alexandre Lacazette	73078	2016-07-01	31080000
Alexandre Lacazette	73078	2019-01-01	62550000
Alexandre Lacazette	73078	2021-12-01	18040000
Alexandre Lacazette	73078	2023-06-01	18100000
Alexandre Lacazette	73078	2023-09-01	11210000
Alexandre Lacazette	73078	2023-12-01	7980000
Alexandre Lacazette	73078	2024-02-01	7300000
Alexandre Lacazette	73078	2024-05-01	7460000
Alexandre Lacazette	73078	2024-08-01	5780000
Alexandre Lacazette	73078	2024-10-01	4990000
Alexandre Lacazette	73078	2024-12-01	4870000
Alexandre Lacazette	73078	2025-04-01	4647490
Alexandre Lacazette	73078	2025-05-01	4571956
Anastasios Douvikas	422873	2019-01-01	260000
Anastasios Douvikas	422873	2020-07-01	620000
Anastasios Douvikas	422873	2022-06-01	3490000
Anastasios Douvikas	422873	2023-07-01	3680000
Anastasios Douvikas	422873	2023-10-01	9470000
Anastasios Douvikas	422873	2024-02-01	10770000
Anastasios Douvikas	422873	2024-05-01	9170000
Anastasios Douvikas	422873	2024-08-01	8250000
Anastasios Douvikas	422873	2024-12-01	7660000
Anastasios Douvikas	422873	2025-03-01	6308991
Anastasios Douvikas	422873	2025-05-01	9120285
Ante Crnac	499034	2020-07-01	130000
Ante Crnac	499034	2021-07-01	130000
Ante Crnac	499034	2022-10-01	510000
Ante Crnac	499034	2023-06-01	1030000
Ante Crnac	499034	2023-09-01	980000
Ante Crnac	499034	2023-12-01	1970000
Ante Crnac	499034	2024-02-01	1910000
Ante Crnac	499034	2024-05-01	1400000
Ante Crnac	499034	2024-08-01	1190000
Ante Crnac	499034	2024-10-01	7160000
Ante Crnac	499034	2024-12-01	7550000
Ante Crnac	499034	2025-04-01	11729527
Ante Crnac	499034	2025-05-01	11711898
Armando Broja	393407	2019-07-01	830000
Armando Broja	393407	2021-01-01	3220000
Armando Broja	393407	2022-08-01	34990000
Armando Broja	393407	2023-06-01	28360000
Armando Broja	393407	2023-09-01	24990000
Armando Broja	393407	2023-11-01	21200000
Armando Broja	393407	2024-01-01	20150000
Armando Broja	393407	2024-04-01	17530000
Armando Broja	393407	2024-06-01	16690000
Armando Broja	393407	2024-09-01	16300000
Armando Broja	393407	2024-11-01	13180000
Armando Broja	393407	2025-02-01	19788060
Armando Broja	393407	2025-04-01	18616455
Armando Broja	393407	2025-05-01	18616455
Arthur Cabral	355666	2017-01-01	100000
Arthur Cabral	355666	2019-07-01	3810000
Arthur Cabral	355666	2022-02-01	5890000
Arthur Cabral	355666	2023-07-01	14240000
Arthur Cabral	355666	2023-10-01	18830000
Arthur Cabral	355666	2024-02-01	17820000
Arthur Cabral	355666	2024-05-01	16650000
Arthur Cabral	355666	2024-08-01	15210000
Arthur Cabral	355666	2024-12-01	11340000
Arthur Cabral	355666	2025-03-01	13492105
Arthur Cabral	355666	2025-05-01	13479511
Ayase Ueda	377288	2019-07-01	120000
Ayase Ueda	377288	2021-01-01	360000
Ayase Ueda	377288	2022-08-01	2390000
Ayase Ueda	377288	2023-07-01	5920000
Ayase Ueda	377288	2023-10-01	8120000
Ayase Ueda	377288	2024-02-01	8960000
Ayase Ueda	377288	2024-05-01	8470000
Ayase Ueda	377288	2024-08-01	8470000
Ayase Ueda	377288	2024-12-01	8320000
Ayase Ueda	377288	2025-03-01	9120285
Ayase Ueda	377288	2025-05-01	9129635
Ayoze Pérez	135366	2016-07-01	5830000
Ayoze Pérez	135366	2019-01-01	14710000
Ayoze Pérez	135366	2021-12-01	15970000
Ayoze Pérez	135366	2023-07-01	4870000
Ayoze Pérez	135366	2023-10-01	9740000
Ayoze Pérez	135366	2024-02-01	11330000
Ayoze Pérez	135366	2024-05-01	10000000
Ayoze Pérez	135366	2024-08-01	9360000
Ayoze Pérez	135366	2024-12-01	8120000
Ayoze Pérez	135366	2025-03-01	9717734
Ayoze Pérez	135366	2025-05-01	9637135
Benedict Hollerbach	485184	2019-07-01	140000
