player, player_id
George Ilenikhena, 470978
Manfred Ugalde, 422782
Boulaye Dia, 365122
Zeki Amdouni, 424624
Terem Moffi, 400505
Igor Jesus, 397497
Josh Sargent, 367480
Jonas Wind, 353565
Levi García, 302474
Ché Adams, 256419
Simon Banza, 300483
Tammy Abraham, 317506
Robert Lewandowski, 29400
Semih Kiliçsoy, 457171
Cameron Archer, 382363
Kévin Denkey, 332814
Nikola Krstović, 404252
Adam Armstrong, 136460
Jhon Córdoba, 136904
Tolu Arokodare, 402056
Armando Broja, 393407
Kasper Dolberg, 322163
Enes Ünal, 134695
Álvaro Morata, 91213
Kauã Elias, 478297
Luciano Gondou, 410663
Matthis Abline, 414249
Tiago Tomás, 395850
Thijs Dallinga, 379687
Kyogo Furuhashi, 421333
Arthur Cabral, 355666
Patson Daka, 345560
Gorka Guruzeta, 362602
Breel Embolo, 143695
Niclas Füllkrug, 104058
Cristiano Ronaldo, 5583
Vladyslav Vanat, 410504
Mateo Cassierra, 322162
Callum Wilson, 134115
Mauro Icardi, 106964
Francesco Camarda, 510527
Gift Orban, 472995
Matías Fernández-Pardo, 475462
Isaac Romero, 492362
Thomas Cannon, 463991
Vitinha, 384887
Hugo Duro, 354526
Youssoufa Moukoko, 406701
Josh Maja, 325156
Odsonne Edouard, 317504
Ayoze Pérez, 135366
Neal Maupay, 119822
Memphis Depay, 110154
Chris Wood, 73380
Deivid Washington, 478451
José Manuel López, 408110
Jay Stansfield, 390214
Youssef Chermiti, 447229
Troy Parrott, 384064
Wilson Isidor, 363535
Hugo Cuypers, 315387
Borja Mayoral, 278721
Fedor Chalov, 298702
David Datro Fofana, 410522
Haji Wright, 338274
Charalampos Kostoulas, 533923
Marc Guiu, 483208
Luciano Rodríguez, 477777
Faris Moumbagna, 395595
Ayase Ueda, 377288
Ante Crnac, 499034
Franjo Ivanovic, 499993
Anastasios Douvikas, 422873
Roberto Piccoli, 369414
Ben Brereton Díaz, 332839
M'Bala Nzola, 343368
Rafael Borré, 145777
Elijah Adebayo, 362145
Giovanni Simeone, 133839
Paul Onuachu, 122182
Vedat Muriqi, 254352
Carlton Morris, 263188
Vincent Janssen, 133381
Chuba Akpom, 122294
Alexandre Lacazette, 73078
Akor Adams, 408616
Ferran Jutglà, 396158
Benedict Hollerbach, 485184
Brandon Vazquez, 298709
Cristian Arango, 343450
Marvin Ducksch, 115509
Rafiu Durosinmi, 472299
Max Moerstedt, 517609
Oumar Diakité, 454324
Lucas Stassin, 459707
William Osula, 416209
Mirlind Daku, 383204
Lyle Foster, 371447
Casper Tengstedt, 426271
Ragnar Ache, 335756
Myron Boadu, 357081
Petar Musa, 404198
Krzysztof Piatek, 339504
Patrick Cutrone, 329681
Danny Ings, 91762
